België,Gewest,Jaar,Maand,Verlies van fulltime banen,Verlies van parttime banen,Totaal banenverlies
België,Vlaams Gewest,2021,December 2021,512,132,1099
België,Vlaams Gewest,2022,Januari 2022,219,100,696
België,Vlaams Gewest,2022,Februari 2022,299,99,824
België,Vlaams Gewest,2022,Maart 2022,614,233,1467
België,Vlaams Gewest,2022,April 2022,274,108,823
België,Vlaams Gewest,2022,Mei 2022,258,142,1001
België,Vlaams Gewest,2022,Juni 2022,329,172,1204
België,Vlaams Gewest,2022,Juli 2022,191,109,665
België,Vlaams Gewest,2022,Augustus 2022,150,114,462
België,Vlaams Gewest,2022,September 2022,594,214,1478
België,Vlaams Gewest,2022,Oktober 2022,452,279,1313
België,Vlaams Gewest,2022,November 2022,320,142,971
België,Vlaams Gewest,2022,December 2022,423,248,1187
België,Brussels Hoofdstedelijk Gewest,2021,December 2021,203,55,406
België,Brussels Hoofdstedelijk Gewest,2022,Januari 2022,201,73,435
België,Brussels Hoofdstedelijk Gewest,2022,Februari 2022,113,34,307
België,Brussels Hoofdstedelijk Gewest,2022,Maart 2022,101,42,376
België,Brussels Hoofdstedelijk Gewest,2022,April 2022,101,23,212
België,Brussels Hoofdstedelijk Gewest,2022,Mei 2022,125,87,459
België,Brussels Hoofdstedelijk Gewest,2022,Juni 2022,116,65,445
België,Brussels Hoofdstedelijk Gewest,2022,Juli 2022,128,59,262
België,Brussels Hoofdstedelijk Gewest,2022,Augustus 2022,34,13,133
België,Brussels Hoofdstedelijk Gewest,2022,September 2022,212,41,421
België,Brussels Hoofdstedelijk Gewest,2022,Oktober 2022,149,40,406
België,Brussels Hoofdstedelijk Gewest,2022,November 2022,199,103,441
België,Brussels Hoofdstedelijk Gewest,2022,December 2022,138,88,369
België,Waals Gewest,2021,December 2021,186,55,431
België,Waals Gewest,2022,Januari 2022,294,82,559
België,Waals Gewest,2022,Februari 2022,324,101,640
België,Waals Gewest,2022,Maart 2022,213,66,469
België,Waals Gewest,2022,April 2022,239,102,521
België,Waals Gewest,2022,Mei 2022,134,83,432
België,Waals Gewest,2022,Juni 2022,240,159,669
België,Waals Gewest,2022,Juli 2022,114,55,314
België,Waals Gewest,2022,Augustus 2022,125,47,258
België,Waals Gewest,2022,September 2022,252,83,564
België,Waals Gewest,2022,Oktober 2022,315,135,691
België,Waals Gewest,2022,November 2022,165,75,455
België,Waals Gewest,2022,December 2022,161,79,471
België,,2021,December 2021,901,242,1936
België,,2022,Januari 2022,714,255,1690
België,,2022,Februari 2022,736,234,1771
België,,2022,Maart 2022,928,341,2312
België,,2022,April 2022,614,233,1556
België,,2022,Mei 2022,517,312,1892
België,,2022,Juni 2022,685,396,2318
België,,2022,Juli 2022,433,223,1241
België,,2022,Augustus 2022,309,174,853
België,,2022,September 2022,1058,338,2463
België,,2022,Oktober 2022,916,454,2410
België,,2022,November 2022,684,320,1867
België,,2022,December 2022,722,415,2027
