Totaal,Niveau 1,Jaar,Trimester,Index
Totaal,Aankoop van nieuwe woningen,2020,4de kwartaal 2020,123.928
Totaal,Aankoop van nieuwe woningen,2021,1ste kwartaal 2021,124.22
Totaal,Aankoop van nieuwe woningen,2021,2de kwartaal 2021,125.199
Totaal,Aankoop van nieuwe woningen,2021,3de kwartaal 2021,129.425
Totaal,Aankoop van nieuwe woningen,2021,4de kwartaal 2021,130.777
Totaal,Aankoop van nieuwe woningen,2022,1ste kwartaal 2022,130.678
Totaal,Aankoop van nieuwe woningen,2022,2de kwartaal 2022,134.182
Totaal,Aankoop van nieuwe woningen,2022,3de kwartaal 2022,134.175
Totaal,Aankoop van bestaande woningen,2020,4de kwartaal 2020,121.527
Totaal,Aankoop van bestaande woningen,2021,1ste kwartaal 2021,123.155
Totaal,Aankoop van bestaande woningen,2021,2de kwartaal 2021,125.858
Totaal,Aankoop van bestaande woningen,2021,3de kwartaal 2021,129.379
Totaal,Aankoop van bestaande woningen,2021,4de kwartaal 2021,129.116
Totaal,Aankoop van bestaande woningen,2022,1ste kwartaal 2022,131.572
Totaal,Aankoop van bestaande woningen,2022,2de kwartaal 2022,132.72
Totaal,Aankoop van bestaande woningen,2022,3de kwartaal 2022,136.935
Totaal,,2020,4de kwartaal 2020,122.231
Totaal,,2021,1ste kwartaal 2021,123.485
Totaal,,2021,2de kwartaal 2021,125.705
Totaal,,2021,3de kwartaal 2021,129.425
Totaal,,2021,4de kwartaal 2021,129.615
Totaal,,2022,1ste kwartaal 2022,131.467
Totaal,,2022,2de kwartaal 2022,133.174
Totaal,,2022,3de kwartaal 2022,136.393
