België,Gewest,Jaar,Maand,Aantal faillissementen
België,Vlaams Gewest,2021,December 2021,399
België,Vlaams Gewest,2022,Januari 2022,331
België,Vlaams Gewest,2022,Februari 2022,387
België,Vlaams Gewest,2022,Maart 2022,545
België,Vlaams Gewest,2022,April 2022,376
België,Vlaams Gewest,2022,Mei 2022,523
België,Vlaams Gewest,2022,Juni 2022,612
België,Vlaams Gewest,2022,Juli 2022,327
België,Vlaams Gewest,2022,Augustus 2022,177
België,Vlaams Gewest,2022,September 2022,596
België,Vlaams Gewest,2022,Oktober 2022,503
België,Vlaams Gewest,2022,November 2022,449
België,Vlaams Gewest,2022,December 2022,461
België,Brussels Hoofdstedelijk Gewest,2021,December 2021,134
België,Brussels Hoofdstedelijk Gewest,2022,Januari 2022,149
België,Brussels Hoofdstedelijk Gewest,2022,Februari 2022,148
België,Brussels Hoofdstedelijk Gewest,2022,Maart 2022,203
België,Brussels Hoofdstedelijk Gewest,2022,April 2022,80
België,Brussels Hoofdstedelijk Gewest,2022,Mei 2022,218
België,Brussels Hoofdstedelijk Gewest,2022,Juni 2022,228
België,Brussels Hoofdstedelijk Gewest,2022,Juli 2022,70
België,Brussels Hoofdstedelijk Gewest,2022,Augustus 2022,70
België,Brussels Hoofdstedelijk Gewest,2022,September 2022,158
België,Brussels Hoofdstedelijk Gewest,2022,Oktober 2022,196
België,Brussels Hoofdstedelijk Gewest,2022,November 2022,130
België,Brussels Hoofdstedelijk Gewest,2022,December 2022,126
België,Waals Gewest,2021,December 2021,173
België,Waals Gewest,2022,Januari 2022,167
België,Waals Gewest,2022,Februari 2022,201
België,Waals Gewest,2022,Maart 2022,174
België,Waals Gewest,2022,April 2022,164
België,Waals Gewest,2022,Mei 2022,202
België,Waals Gewest,2022,Juni 2022,242
België,Waals Gewest,2022,Juli 2022,131
België,Waals Gewest,2022,Augustus 2022,78
België,Waals Gewest,2022,September 2022,214
België,Waals Gewest,2022,Oktober 2022,221
België,Waals Gewest,2022,November 2022,195
België,Waals Gewest,2022,December 2022,213
België,,2021,December 2021,706
België,,2022,Januari 2022,647
België,,2022,Februari 2022,736
België,,2022,Maart 2022,922
België,,2022,April 2022,620
België,,2022,Mei 2022,943
België,,2022,Juni 2022,1082
België,,2022,Juli 2022,528
België,,2022,Augustus 2022,325
België,,2022,September 2022,968
België,,2022,Oktober 2022,920
België,,2022,November 2022,774
België,,2022,December 2022,800
