Jaar,Alle werknemersklassen,NIS werknemersklasse,Alle economische activiteiten,Sectie,Aantal oprichtingen
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,N Administratieve en ondersteunende diensten,0.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,0.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,P Onderwijs,1.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,1.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,"R Kunst, amusement en recreatie",0.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,S Overige diensten,0.0
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,U Extraterritoriale organisaties en lichamen,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,Onbekende economische activiteit,
2021,Alle werknemersklassen,500-999 werknemers,Alle economische activiteiten,,2.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,"A Landbouw, bosbouw en visserij",
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,B Winning van delfstoffen,
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,C Industrie,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,E Distributie van water/ afval- en afvalwaterbeheer en sanering,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,F Bouwnijverheid,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,H Vervoer en opslag,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,I Verschaffen van accommodatie en maaltijden,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,J Informatie en communicatie,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,K Financiële activiteiten en verzekeringen,0.0
2021,Alle werknemersklassen,1000-1999 werknemers,Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,
