Totaal,Bijzonder aggregaties,Trimester,Maand,HICP-Indexcijfer
Totaal,Niet-bewerkte levensmiddelen,1ste kwartaal 2022,Januari 2022,105.417
Totaal,Niet-bewerkte levensmiddelen,1ste kwartaal 2022,Februari 2022,107.956
Totaal,Niet-bewerkte levensmiddelen,1ste kwartaal 2022,Maart 2022,112.438
Totaal,Niet-bewerkte levensmiddelen,2de kwartaal 2022,April 2022,113.096
Totaal,Niet-bewerkte levensmiddelen,2de kwartaal 2022,Mei 2022,114.274
Totaal,Niet-bewerkte levensmiddelen,2de kwartaal 2022,Juni 2022,115.252
Totaal,Niet-bewerkte levensmiddelen,3de kwartaal 2022,Juli 2022,114.952
Totaal,Niet-bewerkte levensmiddelen,3de kwartaal 2022,Augustus 2022,115.37
Totaal,Niet-bewerkte levensmiddelen,3de kwartaal 2022,September 2022,115.987
Totaal,Niet-bewerkte levensmiddelen,4de kwartaal 2022,Oktober 2022,118.146
Totaal,Niet-bewerkte levensmiddelen,4de kwartaal 2022,November 2022,120.221
Totaal,Niet-bewerkte levensmiddelen,4de kwartaal 2022,December 2022,120.863
Totaal,Bewerkte levensmiddelen,1ste kwartaal 2022,Januari 2022,117.447
Totaal,Bewerkte levensmiddelen,1ste kwartaal 2022,Februari 2022,118.087
Totaal,Bewerkte levensmiddelen,1ste kwartaal 2022,Maart 2022,118.709
Totaal,Bewerkte levensmiddelen,2de kwartaal 2022,April 2022,120.01
Totaal,Bewerkte levensmiddelen,2de kwartaal 2022,Mei 2022,121.665
Totaal,Bewerkte levensmiddelen,2de kwartaal 2022,Juni 2022,123.912
Totaal,Bewerkte levensmiddelen,3de kwartaal 2022,Juli 2022,125.834
Totaal,Bewerkte levensmiddelen,3de kwartaal 2022,Augustus 2022,126.423
Totaal,Bewerkte levensmiddelen,3de kwartaal 2022,September 2022,126.863
Totaal,Bewerkte levensmiddelen,4de kwartaal 2022,Oktober 2022,128.764
Totaal,Bewerkte levensmiddelen,4de kwartaal 2022,November 2022,130.719
Totaal,Bewerkte levensmiddelen,4de kwartaal 2022,December 2022,131.628
Totaal,Niet-energetische industriële goederen,1ste kwartaal 2022,Januari 2022,102.84
Totaal,Niet-energetische industriële goederen,1ste kwartaal 2022,Februari 2022,108.719
Totaal,Niet-energetische industriële goederen,1ste kwartaal 2022,Maart 2022,108.831
Totaal,Niet-energetische industriële goederen,2de kwartaal 2022,April 2022,109.146
Totaal,Niet-energetische industriële goederen,2de kwartaal 2022,Mei 2022,109.335
Totaal,Niet-energetische industriële goederen,2de kwartaal 2022,Juni 2022,109.624
Totaal,Niet-energetische industriële goederen,3de kwartaal 2022,Juli 2022,104.793
Totaal,Niet-energetische industriële goederen,3de kwartaal 2022,Augustus 2022,110.569
Totaal,Niet-energetische industriële goederen,3de kwartaal 2022,September 2022,111.855
Totaal,Niet-energetische industriële goederen,4de kwartaal 2022,Oktober 2022,112.822
Totaal,Niet-energetische industriële goederen,4de kwartaal 2022,November 2022,113.435
Totaal,Niet-energetische industriële goederen,4de kwartaal 2022,December 2022,114.786
Totaal,Energie dragers,1ste kwartaal 2022,Januari 2022,182.723
Totaal,Energie dragers,1ste kwartaal 2022,Februari 2022,186.876
Totaal,Energie dragers,1ste kwartaal 2022,Maart 2022,191.493
Totaal,Energie dragers,2de kwartaal 2022,April 2022,188.23
Totaal,Energie dragers,2de kwartaal 2022,Mei 2022,193.972
Totaal,Energie dragers,2de kwartaal 2022,Juni 2022,199.025
Totaal,Energie dragers,3de kwartaal 2022,Juli 2022,195.948
Totaal,Energie dragers,3de kwartaal 2022,Augustus 2022,199.792
Totaal,Energie dragers,3de kwartaal 2022,September 2022,217.63
Totaal,Energie dragers,4de kwartaal 2022,Oktober 2022,247.998
Totaal,Energie dragers,4de kwartaal 2022,November 2022,223.777
Totaal,Energie dragers,4de kwartaal 2022,December 2022,207.438
Totaal,Diensten,1ste kwartaal 2022,Januari 2022,113.195
Totaal,Diensten,1ste kwartaal 2022,Februari 2022,113.745
Totaal,Diensten,1ste kwartaal 2022,Maart 2022,113.893
Totaal,Diensten,2de kwartaal 2022,April 2022,114.465
Totaal,Diensten,2de kwartaal 2022,Mei 2022,114.794
Totaal,Diensten,2de kwartaal 2022,Juni 2022,115.468
Totaal,Diensten,3de kwartaal 2022,Juli 2022,116.779
Totaal,Diensten,3de kwartaal 2022,Augustus 2022,116.999
Totaal,Diensten,3de kwartaal 2022,September 2022,116.389
Totaal,Diensten,4de kwartaal 2022,Oktober 2022,117.005
Totaal,Diensten,4de kwartaal 2022,November 2022,117.182
Totaal,Diensten,4de kwartaal 2022,December 2022,118.204
Totaal,HICP zonder energie en onbewerkte levensmiddelen,1ste kwartaal 2022,Januari 2022,110.651
Totaal,HICP zonder energie en onbewerkte levensmiddelen,1ste kwartaal 2022,Februari 2022,112.988
Totaal,HICP zonder energie en onbewerkte levensmiddelen,1ste kwartaal 2022,Maart 2022,113.22
Totaal,HICP zonder energie en onbewerkte levensmiddelen,2de kwartaal 2022,April 2022,113.855
Totaal,HICP zonder energie en onbewerkte levensmiddelen,2de kwartaal 2022,Mei 2022,114.406
Totaal,HICP zonder energie en onbewerkte levensmiddelen,2de kwartaal 2022,Juni 2022,115.27
Totaal,HICP zonder energie en onbewerkte levensmiddelen,3de kwartaal 2022,Juli 2022,114.667
Totaal,HICP zonder energie en onbewerkte levensmiddelen,3de kwartaal 2022,Augustus 2022,116.805
Totaal,HICP zonder energie en onbewerkte levensmiddelen,3de kwartaal 2022,September 2022,117.037
Totaal,HICP zonder energie en onbewerkte levensmiddelen,4de kwartaal 2022,Oktober 2022,118.03
Totaal,HICP zonder energie en onbewerkte levensmiddelen,4de kwartaal 2022,November 2022,118.712
Totaal,HICP zonder energie en onbewerkte levensmiddelen,4de kwartaal 2022,December 2022,119.82
Totaal,,1ste kwartaal 2022,Januari 2022,116.986
Totaal,,1ste kwartaal 2022,Februari 2022,119.495
Totaal,,1ste kwartaal 2022,Maart 2022,120.283
Totaal,,2de kwartaal 2022,April 2022,120.612
Totaal,,2de kwartaal 2022,Mei 2022,121.611
Totaal,,2de kwartaal 2022,Juni 2022,122.822
Totaal,,3de kwartaal 2022,Juli 2022,122.032
Totaal,,3de kwartaal 2022,Augustus 2022,124.24
Totaal,,3de kwartaal 2022,September 2022,125.899
Totaal,,4de kwartaal 2022,Oktober 2022,129.303
Totaal,,4de kwartaal 2022,November 2022,128.066
Totaal,,4de kwartaal 2022,December 2022,127.766
